window_start,window_end,feature,method,statistic,threshold,alert,p_value,effect_size,n_reference,n_window
2016-08-14 12:26:09,2016-08-15 00:26:09,duration_log1p,ks,0.086581,0.001717,True,0.0,0.086581,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,duration_log1p,wasserstein,0.109739,0.1,True,,0.10471,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,duration_log1p,psi,0.041454,0.2,False,,0.041454,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,duration_log1p,cusum,1.787725,10.520316,False,,0.081707,4409934,1127953
2016-08-15 00:26:09,2016-08-15 12:26:09,flow_duration,ks,0.031821,0.002801,True,1.92e-297,0.031821,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,flow_duration,wasserstein,0.689682,0.1,True,,0.372399,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,flow_duration,psi,0.02129,0.2,False,,0.02129,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,flow_duration,cusum,4.647874,8.56461,False,,0.015767,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,total_packets,ks,0.065385,0.002801,True,0.0,0.065385,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,total_packets,wasserstein,5.544677,0.1,True,,0.792097,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,total_packets,psi,0.025041,0.2,False,,0.025041,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,total_packets,cusum,1.01494,8.56461,False,,0.000713,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,total_bytes,ks,0.108797,0.002801,True,0.0,0.108797,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,total_bytes,wasserstein,4860.091296,0.1,True,,4.691208,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,total_bytes,psi,0.132853,0.2,False,,0.132853,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,total_bytes,cusum,1.151327,8.56461,False,,4.9e-05,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,packet_rate,ks,0.054431,0.002801,True,0.0,0.054431,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,packet_rate,wasserstein,12.762661,0.1,True,,1.066958,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,packet_rate,psi,0.017129,0.2,False,,0.017129,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,packet_rate,cusum,0.0,8.56461,False,,0.061698,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,byte_rate,ks,0.055436,0.002801,True,0.0,0.055436,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,byte_rate,wasserstein,15189.83827,0.1,True,,11.095186,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,byte_rate,psi,0.019884,0.2,False,,0.019884,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,byte_rate,cusum,0.0,8.56461,False,,0.058124,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,mean_packet_size,ks,0.068913,0.002801,True,0.0,0.068913,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,mean_packet_size,wasserstein,22.418263,0.1,True,,0.233038,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,mean_packet_size,psi,0.053672,0.2,False,,0.053672,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,mean_packet_size,cusum,0.070907,8.56461,False,,0.072482,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,bytes_per_packet,ks,0.068913,0.002801,True,0.0,0.068913,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,bytes_per_packet,wasserstein,22.418263,0.1,True,,0.233038,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,bytes_per_packet,psi,0.053672,0.2,False,,0.053672,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,bytes_per_packet,cusum,0.070907,8.56461,False,,0.072482,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,duration_log1p,ks,0.031821,0.002801,True,1.92e-297,0.031821,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,duration_log1p,wasserstein,0.05814,0.1,False,,0.055476,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,duration_log1p,psi,0.02129,0.2,False,,0.02129,4409934,365605
2016-08-15 00:26:09,2016-08-15 12:26:09,duration_log1p,cusum,2.097167,8.56461,False,,0.014893,4409934,365605
